TMS_ID,vt_hours
EP000000351535,1.589722222
EP000000351537,0.083888889
EP000000351538,1.458055556
EP000000351539,2.672777778
EP000000351540,0.143333333
EP000000351541,1.056944444
EP000000351542,6.415833333
EP000000351543,0.026666667
EP000000351544,3.242777778
EP000000351545,5.693333333
EP000000351546,0.937222222
EP000000351547,13.41638889
EP000000351548,227.5336111
EP000000351549,614.9161111
EP000000351550,473.0136111
EP000000351551,805.9122222
EP000000351552,3699.156389
EP000000351553,14059.12556
EP000000510001,0.208055556
EP000000510003,2.116388889
EP000000510004,0.185555556
EP000000510005,0.178055556
EP000000510007,0.168888889
EP000000510010,0.015833333
EP000000510012,0.965555556
EP000000510013,0.057777778
EP000000510014,0.006944444
EP000000510015,0.013611111
EP000000510017,0.136388889
EP000000510019,0.024722222
EP000000510020,0.070555556
EP000000510021,0.006666667
EP000000510022,0.002777778
EP000000510023,0.548333333
EP000000510024,0.386388889
EP000000510025,0.034444444
EP000000510026,0.039722222
EP000000510027,0.151111111
EP000000510028,0.015555556
EP000000510029,0.119444444
EP000000510031,0.029444444
EP000000510032,0.436944444
EP000000510035,0.945833333
EP000000510036,0.705
EP000000510038,0.151388889
EP000000510039,0.003055556
EP000000510040,18.22055556
EP000000510041,13.77277778
EP000000510043,6.981388889
EP000000510044,12.05611111
EP000000510045,21.14222222
EP000000510046,206.8019444
EP000000510047,157.1102778
EP000000510048,144.1561111
EP000000510049,182.6205556
EP000000510050,171.7647222
EP000000510051,250.9372222
EP000000510052,217.8355556
EP000000510053,195.4644444
EP000000510054,199.0705556
EP000000510055,252.8083333
EP000000510076,0.003333333
EP000000510077,0.040833333
EP000000510093,0.056388889
EP000000510094,0.023333333
EP000000510110,0.01
EP000000510111,0.73
EP000000510112,0.786666667
EP000000510113,0.8125
EP000000510115,0.811388889
EP000000510143,0.008333333
EP000000510159,0.055
EP000000510161,0.848333333
EP000000510177,0.0025
EP000000510180,0.444166667
EP000001430001,1.343611111
EP000001430003,0.88
EP000001430004,1.194444444
EP000001430005,0.411666667
EP000001430006,0.399444444
EP000001430010,0.260555556
EP000001430011,0.420277778
EP000001430016,0.423611111
EP000001430018,0.048611111
EP000001430019,0.0275
EP000001430030,0.188611111
EP000002010001,6655.325
EP000002030001,18.49416667
EP000002030002,8.661944444
EP000002030003,5.879166667
EP000002030004,5.297222222
EP000002030005,5.512222222
EP000002030006,5.5825
EP000002030007,6.073611111
EP000002030008,4.685277778
EP000002030010,4.714444444
EP000002030013,5.097777778
EP000002030014,3.610833333
EP000002030016,2.369444444
EP000002030017,2.126666667
EP000002030018,3.100833333
EP000002040071,0.193333333
EP000002040102,5.56E-04
