TMS_ID,vt_hours
EP000005740100,0.393888889
EP000005740101,8.969722222
EP000005740103,0.053333333
EP000005740104,9.208333333
EP000005740105,0.872777778
EP000005740106,5.856388889
EP000005740107,0.576388889
EP000005740108,2.295555556
EP000005740109,3.421388889
EP000005740110,1.626944444
EP000005740111,0.896111111
EP000005740112,1.743333333
EP000008910001,6.591111111
EP000008910002,3.658611111
EP000008910003,2.835
EP000008910004,2.093055556
EP000008910005,2.11
EP000008910006,2.144166667
EP000008910007,0.766666667
EP000008910008,0.730555556
EP000008910009,2.122222222
EP000008910010,0.911944444
EP000008910011,0.805
EP000008910012,1.054722222
EP000008910013,0.737222222
EP000008910014,4.430277778
EP000008910015,0.819166667
EP000008910016,1.308333333
EP000008910017,3.831111111
EP000008910018,2.180833333
EP000008910019,2.343055556
EP000008910020,1.636666667
EP000008910021,0.798888889
EP000008910022,0.829166667
EP000008910023,0.731666667
EP000008910024,2.675555556
EP000008910025,2.286111111
EP000008910026,2.446388889
EP000008910027,2.628333333
EP000008910028,1.741388889
EP000008910029,2.228333333
EP000008910030,1.570277778
EP000008910031,2.320555556
EP000008910032,1.626111111
EP000008910033,1.645277778
EP000008910034,0.755
EP000008910035,1.203611111
EP000008910036,1.543888889
EP000008910037,2.4975
EP000008910038,1.628888889
EP000008910039,1.705
EP000008910040,21.46444444
EP000008910041,12.82833333
EP000008910042,14.00805556
EP000008910043,14.80027778
EP000008910044,14.35805556
EP000008910045,13.06138889
EP000008910046,10.50666667
EP000008910047,0.875
EP000008910048,0.814166667
EP000008910049,1.514722222
EP000008910050,1.631111111
EP000008910051,1.947777778
EP000008910052,1.654444444
EP000008910053,2.323333333
EP000008910054,1.611666667
EP000008910055,0.004444444
EP000008910056,1.603611111
EP000008910057,1.029444444
EP000008910058,1.583333333
EP000008910059,1.587222222
EP000008910060,0.402222222
EP000008910061,0.779166667
EP000008910062,0.801388889
EP000008910063,0.790277778
EP000008910064,0.015833333
EP000008910065,0.013333333
EP000008910067,0.004444444
EP000008910068,1.598611111
EP000008910069,0.022222222
EP000008910070,0.004166667
EP000008910071,0.849444444
EP000008910072,0.380555556
EP000008910073,0.842777778
EP000008910074,1.6875
EP000008910075,0.996944444
EP000008910077,0.842222222
EP000008910078,0.841944444
EP000008910079,1.436666667
EP000008910080,0.743611111
EP000008910081,0.330833333
EP000008910082,0.946111111
